Species,Common_Name,Original_Assembly_Name,Trimmed_Taxon_Name,Tree_Leaf_Name
Lepus timidus,Mountain hare,HLlepTim1,lepTim,lepTim
Lepus tolai,Tolai hare,HLlepTola1,lepTola,lepTola
Lepus capensis,Brown hare,HLlepCap1,lepCap,lepCap
Lepus yarkandensis,Yarkand hare,HLlepYar1,lepYar,lepYar
Lepus europaeus,European hare,HLlepEur1,lepEur,lepEur
Lepus oiostolus,Woolly hare,HLlepOio1,lepOio,lepOio
Lepus americanus,snowshoe hare,HLlepAme1,lepAme,lepAme
Ochotona curzoniae,black-lipped pika,HLochCur1,ochCur,ochCur
Ochotona princeps,American pika,HLochPri4,ochPri,ochPri
Ochotona argentata,Helan Shan pika,HLochArge1,ochArge,ochArge
Ictidomys tridecemlineatus,thirteen-lined ground squirrel,HLictTri2,ictTri,ictTri
Cynomys gunnisoni,Gunnisons prairie dog,HLcynGun1,cynGun,cynGun
Urocitellus parryii,Arctic ground squirrel,HLuroPar2A,uroPar,uroPar
Spermophilus citellus,European suslik,HLspeCit1,speCit,speCit
Spermophilus dauricus,Daurian ground squirrel,HLspeDau1,speDau,speDau
Marmota flaviventris,Yellow-bellied marmot,HLmarFlav2B,marFlav,marFlav
Marmota vancouverensis,Vancouver marmot,HLmarVan1,marVan,marVan
Marmota himalayana,Himalayan marmot,HLmarHim1,marHim,marHim
Marmota marmota marmota,Alpine marmot,HLmarMar1,marMar,marMar
Marmota monax,woodchuck,HLmarMon3,marMon,marMon
Callospermophilus lateralis,Golden-mantled ground squirrel,HLcalLat1B,calLat,calLat
Otospermophilus beecheyi,California ground squirrel,HLotoBeec1,otoBeec,otoBeec
Tamias sibiricus,Siberian chipmunk,HLtamSib1,tamSib,tamSib
Xerus rutilus,unstriped ground squirrel,HLxerRut1,xerRut,xerRut
Xerus inauris,South African ground squirrel,HLxerIna1,xerIna,xerIna
Sciurus carolinensis,gray squirrel,HLsciCar1,sciCar,sciCar
Sciurus niger,fox squirrel,HLsciNig1,sciNig,sciNig
Sciurus vulgaris,Eurasian red squirrel,HLsciVul1,sciVul,sciVul
Glaucomys volans,southern flying squirrel,HLglaVol1,glaVol,glaVol
Pteromys volans,Siberian flying squirrel,HLpteVola1,pteVola,pteVola
Aplodontia rufa,mountain beaver,HLaplRuf1,aplRuf,aplRuf
Glis glis,Fat dormouse,HLgliGli1,gliGli,gliGli
Graphiurus murinus,woodland dormouse,HLgraMur1,graMur,graMur
Muscardinus avellanarius,Hazel dormouse,HLmusAvel2,musAvel,musAvel
Eliomys quercinus,garden dormouse,HLeliQue1A,eliQue,eliQue
Peromyscus californicus insignis,California mouse,HLperCalIns3,perCalIns,perCalIns
Peromyscus eremicus,cactus mouse,HLperEre1,perEre,perEre
Peromyscus crinitus,canyon mouse,HLperCri1,perCri,perCri
Peromyscus maniculatus sonoriensis,North American deer mouse,HLperManSon3,perManSon,perManSon
Peromyscus maniculatus bairdii,prairie deer mouse,HLperManBai2,perManBai,perManBai
Peromyscus polionotus subgriseus,oldfield mouse,HLperPol1,perPol,perPol
Peromyscus leucopus,white-footed mouse,HLperLeu1,perLeu,perLeu
Neotomodon alstoni,Mexican volcano mouse,HLneoAls1,neoAls,neoAls
Peromyscus nasutus,northern rock mouse,HLperNas1,perNas,perNas
Onychomys arenicola,Chihuahuan grasshopper mouse,HLonyAre1A,onyAre,onyAre
Onychomys torridus,southern grasshopper mouse,HLonyTor1,onyTor,onyTor
Onychomys leucogaster,Northern grasshopper mouse,HLonyLeu1,onyLeu,onyLeu
Reithrodontomys megalotis longicaudus,Western harvest mouse,HLreiMegLon1,reiMegLon,reiMegLon
Scotinomys teguina,Alstons brown mouse,HLscoTegu1,scoTegu,scoTegu
Neotoma lepida,desert woodrat,HLneoLep1,neoLep,neoLep
Neotoma floridana,Eastern woodrat,HLneoFlor1A,neoFlor,neoFlor
Sigmodon hispidus,Hispid cotton rat,HLsigHisp3,sigHisp,sigHisp
Phyllotis vaccarum,Punta de Vaca leaf-eared mouse,HLphyVac1,phyVac,phyVac
Microtus californicus,California vole,HLmicCal1A,micCal,micCal
Microtus ochrogaster,prairie vole,micOch1,micOch,micOch
Microtus pennsylvanicus,Meadow vole,HLmicPen1A,micPen,micPen
Microtus oregoni,creeping vole,HLmicOre1,micOre,micOre
Microtus richardsoni arvicoloides,water vole,HLmicRicArv1,micRicArv,micRicArv
Microtus obscurus,Altai voie,HLmicObs1,micObs,micObs
Microtus arvalis,Common vole,HLmicArv1,micArv,micArv
Microtus agrestis,short-tailed field vole,HLmicAgr2,micAgr,micAgr
Neodon fuscus,Smokey vole,HLneoFus1,neoFus,neoFus
Neodon shergylaensis,Shergyla mountain vole,HLneoShe1,neoShe,neoShe
Alexandromys fortis,Reed vole,HLaleFor1,aleFor,aleFor
Alexandromys oeconomus,Root vole,HLaleOec1,aleOec,aleOec
Chionomys nivalis,European snow vole,HLchiNiv1,chiNiv,chiNiv
Arvicola amphibius,Eurasian water mole,HLarvAmp1,arvAmp,arvAmp
Bramus lutescens,Transcaucasian mole vole,HLellLut1,ellLut,ellLut
Ellobius talpinus,Northern mole vole,HLellTal1,ellTal,ellTal
Myodes glareolus,Bank vole,HLmyoGla2,myoGla,myoGla
Clethrionomys rutilus,Northern red-backed vole,HLcleRut1,cleRut,cleRut
Dicrostonyx torquatus,Arctic lemming,HLdicTor1,dicTor,dicTor
Ondatra zibethicus,muskrat,HLondZib1,ondZib,ondZib
Cricetulus griseus,Chinese hamster,HLcriGri3,criGri,criGri
Cricetus cricetus,Black-bellied hamster,HLcriCri1,criCri,criCri
Mesocricetus auratus,golden hamster,HLmesAur3,mesAur,mesAur
Phodopus roborovskii,desert hamster,HLphoRob1,phoRob,phoRob
Phodopus sungorus,winter white dwarf hamster,HLphoSun2,phoSun,phoSun
Mus spicilegus,steppe mouse,HLmusSpi1,musSpi,musSpi
Mus spretus,Western wild mouse,HLmusSpr2,musSpr,musSpr
Mus musculus,House mouse,HLmusMusc41,musMusc,musMusc
Mus musculus molossinus,Japanese wild mouse,HLmusMusMol40,musMusMol,musMusMol
Mus caroli,Ryukyu mouse,HLmusCar1,musCar,musCar
Mus minutoides,Southern African pygmy mouse,HLmusMin1,musMin,musMin
Mus pahari,shrew mouse,HLmusPah1,musPah,musPah
Mastomys coucha,southern multimammate mouse,HLmasCou1,masCou,masCou
Montemys delectorum,delectable soft-furred mouse,HLpraDel1,praDel,praDel
Apodemus sylvaticus,European woodmouse,HLapoSyl2,apoSyl,apoSyl
Apodemus agrarius,Eurasian field mouse,HLapoAgr1,apoAgr,apoAgr
Apodemus speciosus,Large Japanese field mouse,HLapoSpe1,apoSpe,apoSpe
Tokudaia osimensis,Amami-oshima island spiny rat,HLtokOsi1,tokOsi,tokOsi
Tokudaia tokunoshimensis,Tokunoshima spiny rat,HLtokTok1,tokTok,tokTok
Tokudaia muenninki,Okinawa island spiny rat,HLtokMue1,tokMue,tokMue
Rhabdomys dilectus,mesic four-striped grass rat,HLrhaDil1,rhaDil,rhaDil
Rhabdomys pumilio,Four-striped grass mouse,HLrhaPum1,rhaPum,rhaPum
Arvicanthis niloticus,African grass rat,HLarvNil1,arvNil,arvNil
Grammomys surdaster,African woodland thicket rat,HLgraSur1,graSur,graSur
Mastacomys fuscus,broad-toothed rat,HLmasFus1,masFus,masFus
Pseudomys fumeus,smoky mouse,HLpseFum1,pseFum,pseFum
Pseudomys desertor,brown desert mouse,HLpseDes1,pseDes,pseDes
Uromys caudimaculatus,giant uromys,HLuroCau1,uroCau,uroCau
Hydromys chrysogaster,Golden-bellied water rat,HLhydChr1,hydChr,hydChr
Rhynchomys soricoides,Mount Data shrew rat,HLrhySor1,rhySor,rhySor
Micromys minutus,European harvest mouse,HLmicMin1,micMin,micMin
Rattus norvegicus,Norway rat,HLratNor8,ratNor,ratNor
Rattus rattus,black rat,HLratRat7,ratRat,ratRat
Acomys cahirinus,Egyptian spiny mouse,HLacoCah1,acoCah,acoCah
Acomys dimidiatus,Eastern spiny mouse,HLacoDim1,acoDim,acoDim
Acomys minous,Crete spiny mouse,HLacoMin1,acoMin,acoMin
Acomys kempi,Kemps spiny mouse,HLacoKem1,acoKem,acoKem
Acomys percivali,Percivals spiny mouse,HLacoPer1,acoPer,acoPer
Acomys russatus,golden spiny mouse,HLacoRus1,acoRus,acoRus
Psammomys obesus,fat sand rat,HLpsaObe1,psaObe,psaObe
Meriones psammophilus,Rodents,HLmerPsa1,merPsa,merPsa
Meriones unguiculatus,Mongolian gerbil,HLmerUng2,merUng,merUng
Rhombomys opimus,great gerbil,HLrhoOpi1,rhoOpi,rhoOpi
Pachyuromys duprasi,fat-tailed gerbil,HLpacDup1,pacDup,pacDup
Lophiomys imhausi,crested rat,HLlopImh1,lopImh,lopImh
Cricetomys gambianus,Gambian giant pouched rat,HLcriGam1,criGam,criGam
Cricetomys ansorgei,southern giant pouched rat,HLcriAns1,criAns,criAns
Nannospalax galili,Upper Galilee mountains blind mole rat,nanGal1,nanGal,nanGal
Rhizomys pruinosus,hoary bamboo rat,HLrhiPru1,rhiPru,rhiPru
Eospalax fontanierii,Chinese zokor,HLeosFon1,eosFon,eosFon
Myospalax aspalax,False zokor,HLmyoAspa1,myoAspa,myoAspa
Myospalax psilurus,Transbaikal zokor,HLmyoPsil1,myoPsil,myoPsil
Typhlomys cinereus,Soft-furred tree mouse,HLtypCin1,typCin,typCin
Orientallactaga bullata,Gobi jerboa,HLallBul1,allBul,allBul
Orientallactaga sibirica,Mongolian five-toed jerboa,HLoriSib2,oriSib,oriSib
Jaculus jaculus,lesser Egyptian jerboa,HLjacJac2,jacJac,jacJac
Dipus sagitta,northern three-toed jerboa,HLdipSag1,dipSag,dipSag
Salpingotus crassicauda,Thick-tailed pygmy jerboa,HLsalCra1,salCra,salCra
Zapus hudsonius,meadow jumping mouse,HLzapHud1,zapHud,zapHud
Dipodomys ordii,Ords kangaroo rat,dipOrd2,dipOrd,dipOrd
Dipodomys stephensi,Stephenss kangaroo rat,HLdipSte1,dipSte,dipSte
Dipodomys merriami,Merriams kangaroo rat,HLdipMer1,dipMer,dipMer
Dipodomys spectabilis,banner-tailed kangaroo rat,HLdipSpe1,dipSpe,dipSpe
Perognathus longimembris pacificus,Pacific pocket mouse,HLperLonPac2,perLonPac,perLonPac
Thomomys bottae,Bottas pocket gopher,HLthoBot2A,thoBot,thoBot
Geomys bursarius,Plains pocket gopher,HLgeoBur1,geoBur,geoBur
Castor canadensis,American beaver,HLcasCana4A,casCana,casCana
Pedetes capensis,springhare,HLpedCap1,pedCap,pedCap
Ctenodactylus gundi,Northern gundi,HLcteGund2A,cteGund,cteGund
Hystrix brachyura,Malayan porcupine,HLhysBra1,hysBra,hysBra
Hystrix cristata,crested porcupine,HLhysCri1,hysCri,hysCri
Thryonomys swinderianus,Greater cane rat,HLthrSwi1,thrSwi,thrSwi
Petromus typicus,dassie-rat,HLpetTyp1,petTyp,petTyp
Heterocephalus glaber,naked mole-rat,HLhetGla5,hetGla,hetGla
Fukomys damarensis,Damara mole-rat,HLfukDam2,fukDam,fukDam
Bathyergus suillus,Cape dune mole-rat,HLbatSui1,batSui,batSui
Octodon degus,degu,octDeg1,octDeg,octDeg
Ctenomys sociabilis,social tuco-tuco,HLcteSoc1,cteSoc,cteSoc
Myocastor coypus,coypu,HLmyoCoy2,myoCoy,myoCoy
Lagostomus maximus,plains viscacha,HLlagMax1,lagMax,lagMax
Chinchilla lanigera,long-tailed chinchilla,chiLan1,chiLan,chiLan
Dinomys branickii,pacarana,HLdinBra1,dinBra,dinBra
Coendou prehensilis,Brazilian porcupine,HLcoePre1,coePre,coePre
Erethizon dorsatum,North American porcupine,HLereDor3,ereDor,ereDor
Dasyprocta punctata,punctate agouti,HLdasPun1,dasPun,dasPun
Cavia aperea,Brazilian guinea pig,cavApe1,cavApe,cavApe
Cavia tschudii,Montane guinea pig,HLcavTsc1,cavTsc,cavTsc
Cavia porcellus,domestic guinea pig,HLcavPor4,cavPor,cavPor
Dolichotis patagonum,Patagonian cavy,HLdolPat1,dolPat,dolPat
Hydrochoerus hydrochaeris,capybara,HLhydHyd1,hydHyd,hydHyd
