Species,Common_Name,Original_Assembly_Name,Trimmed_Taxon_Name,Tree_Leaf_Name
Myotis pilosus,Ricketts big-footed Myotis,HLmyoRic2,myoRic,myoRic
Myotis emarginatus,Geoffroys bat,HLmyoEma1A,myoEma,myoEma
Myotis septentrionalis,Northern long-eared myotis,HLmyoSep1,myoSep,myoSep
Myotis yumanensis,Yuma myotis,HLmyoYum1B,myoYum,myoYum
Myotis findleyi,Findleys myotis,HLmyoFin1,myoFin,myoFin
Myotis lucifugus,little brown bat,HLmyoLuc1,myoLuc,myoLuc
Myotis vivesi,fish-eating bat,HLmyoViv1,myoViv,myoViv
Myotis brandtii,Brandts myotis bat,myoBra1,myoBra,myoBra
Myotis planiceps,flat-headed Myotis,HLmyoPla1,myoPla,myoPla
Myotis mystacinus,Whiskered bat,HLmyoMys2A,myoMys,myoMys
Murina feae,Little tube-nosed bat,HLmurAurFea1,murAurFea,murAurFea
Miniopterus natalensis,Natal long-fingered bat,HLminNat1,minNat,minNat
Miniopterus schreibersii,Schreibers long-fingered bat,HLminSch2A,minSch,minSch
Mops condylurus,Angolan free-tailed bat,HLmopCon1,mopCon,mopCon
Tadarida brasiliensis,Brazilian free-tailed bat,HLtadBra3,tadBra,tadBra
Molossus alvarezi,Alvarezs mastiff bat,HLmolAlv2B,molAlv,molAlv
Molossus molossus,Pallass mastiff bat,HLmolMol2,molMol,molMol
Molossus nigricans,Northern black mastiff bat,HLmolNig2A,molNig,molNig
Leptonycteris yerbabuenae,Lesser long-nosed bat,HLlepYer1,lepYer,lepYer
Anoura caudifer,tailed tailless bat,HLanoCau1,anoCau,anoCau
Artibeus lituratus,Great fruit-eating bat,HLartLit1A,artLit,artLit
Artibeus jamaicensis,Jamaican fruit-eating bat,HLartJam2,artJam,artJam
Sturnira hondurensis,Honduras yellow-shouldered bat,HLstuHon1,stuHon,stuHon
Carollia perspicillata,Sebas short-tailed bat,HLcarPer3,carPer,carPer
Phyllostomus hastatus,Greater spear-nosed bat,HLphyHast2,phyHast,phyHast
Phyllostomus discolor,Pale spear-nosed bat,HLphyDisc4,phyDisc,phyDisc
Tonatia bakeri,stripe-headed round-eared bat,HLtonSau1,tonSau,tonSau
Trachops cirrhosus,fringe-lipped bat,HLtraCir2,traCir,traCir
Micronycteris hirsuta,hairy big-eared bat,HLmicHir1,micHir,micHir
Macrotus californicus,California big-eared bat,HLmacCal1,macCal,macCal
Mormoops blainvillei,Antillean ghost-faced bat,HLmorBla1,morBla,morBla
Pteronotus mesoamericanus,Mesoamerican mustached bat,HLpteMes1,pteMes,pteMes
Pteronotus parnellii mexicanus,Parnells mustached bat,HLpteParMex3,pteParMex,pteParMex
Pteronotus parnellii,Parnells mustached bat,HLptePar2,ptePar,ptePar
Noctilio leporinus,greater bulldog bat,HLnocLep1,nocLep,nocLep
Rhynchonycteris naso,Proboscis bat,HLrhyNas2B,rhyNas,rhyNas
Saccopteryx leptura,lesser sac-winged bat,HLsacLep1,sacLep,sacLep
Saccopteryx bilineata,greater sac-winged bat,HLsacBil1,sacBil,sacBil
Hipposideros galeritus,Cantors roundleaf bat,HLhipGal1,hipGal,hipGal
Hipposideros larvatus,Intermediate roundleaf bat,HLhipLar2,hipLar,hipLar
Hipposideros armiger,great roundleaf bat,HLhipArm1,hipArm,hipArm
Hipposideros pendleburyi,Pendleburys leaf-nosed bat,HLhipPen1,hipPen,hipPen
Aselliscus stoliczkanus,Stoliczkas trident bat,HLaseSto4,aseSto,aseSto
Doryrhina cyclops,cyclops roundleaf bat,HLhipCyc2,hipCyc,hipCyc
Rhinolophus trifoliatus,Trefoil horseshoe bat,HLrhiTri2,rhiTri,rhiTri
Rhinolophus perniger lanosus,Northern woolly horseshoe bat,HLrhiLuc4,rhiLuc,rhiLuc
Rhinolophus yonghoiseni,Yong Hoi Sens woolly horseshoe bat,HLrhiSed2,rhiSed,rhiSed
Rhinolophus sinicus,Chinese rufous horseshoe bat,HLrhiSin4,rhiSin,rhiSin
Rhinolophus rex,king horseshoe bat,HLrhiRex1,rhiRex,rhiRex
Rhinolophus affinis,Intermediate horseshoe bat,HLrhiAff4,rhiAff,rhiAff
Rhinolophus ferrumequinum,greater horseshoe bat,HLrhiFer6,rhiFer,rhiFer
Rhinolophus hipposideros,Lesser horseshoe bat,HLrhiHip1A,rhiHip,rhiHip
Craseonycteris thonglongyai,hog-nosed bat,HLcraTho1,craTho,craTho
Lyroderma lyra,Indian false vampire,HLmegLyr2,megLyr,megLyr
Megaderma spasma,lesser false vampire bat,HLmegSpa1,megSpa,megSpa
Rhinopoma microphyllum,Greater mouse-tailed bat,HLrhiMic1,rhiMic,rhiMic
Pteropus alecto,black flying fox,pteAle1,pteAle,pteAle
Pteropus rodricensis,Rodriguez flying fox,HLpteRod1,pteRod,pteRod
Pteropus rufus,Malagasy flying fox,HLpteRuf1,pteRuf,pteRuf
Pteropus medius,Indian flying fox,HLpteGig1,pteGig,pteGig
Pteropus vampyrus,large flying fox,HLpteVam3,pteVam,pteVam
Pteropus pselaphon,Bonin flying fox,HLptePse1,ptePse,ptePse
Rousettus leschenaultii,Leschenaults rousette,HLrouLes1,rouLes,rouLes
Rousettus madagascariensis,Madagascan rousette,HLrouMad1,rouMad,rouMad
Rousettus aegyptiacus,Egyptian rousette,HLrouAeg4,rouAeg,rouAeg
Eidolon dupreanum,Malagasy straw-colored fruit bat,HLeidDup1,eidDup,eidDup
Eidolon helvum,straw-colored fruit bat,HLeidHel2,eidHel,eidHel
Macroglossus sobrinus,Long-tongued fruit bat,HLmacSob1,macSob,macSob
Cynopterus brachyotis,lesser short-nosed fruit bat,HLcynBra1,cynBra,cynBra
Cynopterus sphinx,Indian short-nosed fruit bat,HLcynSph1,cynSph,cynSph
Sorex maritimensis,Maritime shrew,HLsorMar1,sorMar,sorMar
Sorex araneus,European shrew,HLsorAra3,sorAra,sorAra
Sorex cinereus,cinereus shrew,HLsorCin1,sorCin,sorCin
Sorex fumeus,smoky shrew,HLsorFum1,sorFum,sorFum
Sorex ornatus,Ornate shrew,HLsorOrn1A,sorOrn,sorOrn
Sorex hoyi,Pygmy shrew,HLsorHoyi1,sorHoyi,sorHoyi
Cryptotis parvus,least shrew,HLcryPar1,cryPar,cryPar
Blarina brevicauda,Short-tailed shrew,HLblaBrev1,blaBrev,blaBrev
Crocidura gueldenstaedtii,Guldenstadts white-toothed shrew,HLcroGuel1,croGuel,croGuel
Crocidura zimmermanni,Zimmermanns shrew,HLcroZim1,croZim,croZim
Suncus etruscus,white-toothed pygmy shrew,HLsunEtr1,sunEtr,sunEtr
Erinaceus europaeus,western European hedgehog,HLeriEur3,eriEur,eriEur
Galemys pyrenaicus,Pyrenean desman,HLgalPyr1,galPyr,galPyr
Desmana moschata,Insectivores,HLdesMos1,desMos,desMos
Scaptochirus moschatus,Short-faced mole,HLscaMos1,scaMos,scaMos
Talpa europaea,European mole,HLtalEur1A,talEur,talEur
Talpa occidentalis,Iberian mole,HLtalOcc1,talOcc,talOcc
Condylura cristata,star-nosed mole,conCri1,conCri,conCri
Scalopus aquaticus,eastern mole,HLscaAqu1,scaAqu,scaAqu
Uropsilus gracilis,gracile shrew mole,HLuroGra1,uroGra,uroGra
Solenodon paradoxus,Hispaniolan solenodon,HLsolPar1,solPar,solPar
Heterohyrax brucei,yellow-spotted hyrax,HLhetBru2,hetBru,hetBru
Procavia capensis,Cape rock hyrax,HLproCap3,proCap,proCap
Hydrodamalis gigas,Stellers sea cow,HLhydGig1,hydGig,hydGig
Dugong dugon,Dugong,HLdugDugo3A,dugDugo,dugDugo
Trichechus inunguis,Amazon manatee,HLtriInu1A,triInu,triInu
Trichechus manatus,West Indian manatee,HLtriManLat2,triManLat,triManLat
Loxodonta africana,African savanna elephant,HLloxAfr5A,loxAfr,loxAfr
Elephas maximus indicus,Asiatic elephant,HLeleMaxInd3A,eleMaxInd,eleMaxInd
Orycteropus afer afer,aardvark,HLoryAfeAfe2,oryAfeAfe,oryAfeAfe
Chrysochloris asiatica,Cape golden mole,chrAsi1,chrAsi,chrAsi
Elephantulus edwardii,Cape elephant shrew,eleEdw1,eleEdw,eleEdw
Rhynchocyon petersi,Black and rufous elephant shrew,HLrhyPet1B,rhyPet,rhyPet
Tenrec ecaudatus,Tailless tenrec,HLtenEcau2B,tenEcau,tenEcau
Echinops telfairi,small Madagascar hedgehog,echTel2,echTel,echTel
Nesogale talazaci,Talazacs shrew tenrec,HLmicTal1,micTal,micTal
Dasypus novemcinctus,nine-banded armadillo,HLdasNov4,dasNov,dasNov
Tolypeutes matacus,southern three-banded armadillo,HLtolMata2,tolMata,tolMata
Bradypus torquatus,Maned three-toed sloth,HLbraTor4,braTor,braTor
Choloepus hoffmanni,Hoffmanns two-fingered sloth,HLchoHof3,choHof,choHof
Choloepus didactylus,southern two-toed sloth,HLchoDid2,choDid,choDid
Myrmecophaga tridactyla,giant anteater,HLmyrTri2,myrTri,myrTri
Tamandua tetradactyla,southern tamandua,HLtamTet2,tamTet,tamTet
Macaca silenus,liontail macaque,HLmacSil1,macSil,macSil
Macaca nemestrina,Pig-tailed macaque,HLmacNeme2A,macNeme,macNeme
Macaca nigra,Celebes crested macaque,HLmacNir1,macNir,macNir
Macaca cyclopis,Taiwan macaque,HLmacCyc1,macCyc,macCyc
Macaca mulatta,Rhesus monkey,rheMac10,rheMac,rheMac
Macaca fuscata,Japanese macaque,HLmacFus1,macFus,macFus
Macaca fascicularis,Crab-eating macaque,HLmacFas8,macFas,macFas
Macaca assamensis,Assam macaque,HLmacAss1,macAss,macAss
Macaca thibetana thibetana,Pere Davids macaque,HLmacThiThi1,macThiThi,macThiThi
Macaca arctoides,stump-tailed macaque,HLmacArc1,macArc,macArc
Lophocebus aterrimus,Black crested mangabey,HLlopAte1,lopAte,lopAte
Papio anubis,olive baboon,HLpapAnu5,papAnu,papAnu
Papio hamadryas,hamadryas baboon,HLpapHam2,papHam,papHam
Papio papio,Guinea baboon,HLpapPap1,papPap,papPap
Theropithecus gelada,gelada,HLtheGel1,theGel,theGel
Mandrillus leucophaeus,drill,HLmanLeu2,manLeu,manLeu
Mandrillus sphinx,mandrill,HLmanSph3,manSph,manSph
Cercocebus atys,sooty mangabey,cerAty1,cerAty,cerAty
Chlorocebus sabaeus,green monkey,HLchlSab3,chlSab,chlSab
Chlorocebus aethiops,grivet,HLchlAet1,chlAet,chlAet
Erythrocebus patas,red guenon,HLeryPat3,eryPat,eryPat
Cercopithecus mona,Mona monkey,HLcerMon1,cerMon,cerMon
Cercopithecus neglectus,De Brazzas monkey,HLcerNeg1,cerNeg,cerNeg
Cercopithecus albogularis,Sykes monkey,HLcerAlb1,cerAlb,cerAlb
Cercopithecus mitis,blue monkey,HLcerMit1,cerMit,cerMit
Miopithecus talapoin,talapoin,HLmioTal1,mioTal,mioTal
Allenopithecus nigroviridis,Allens swamp monkey,HLallNig1,allNig,allNig
Trachypithecus phayrei crepuscula,Phayres leaf monkey,HLtraPhaCre1,traPhaCre,traPhaCre
Trachypithecus germaini,Indochinese lutung,HLtraGer1,traGer,traGer
Trachypithecus francoisi,Francoiss langur,HLtraFra1,traFra,traFra
Semnopithecus entellus,Hanuman langur,HLsemEnt1,semEnt,semEnt
Rhinopithecus bieti,black snub-nosed monkey,rhiBie1,rhiBie,rhiBie
Rhinopithecus strykeri,Burmese snub-nosed monkey,HLrhiStr1,rhiStr,rhiStr
Rhinopithecus roxellana,golden snub-nosed monkey,HLrhiRox2,rhiRox,rhiRox
Pygathrix nemaeus,Red shanked douc langur,HLpygNem1,pygNem,pygNem
Pygathrix nigripes,Black-shanked douc langur,HLpygNig1,pygNig,pygNig
Nasalis larvatus,proboscis monkey,nasLar1,nasLar,nasLar
Colobus guereza,mantled guereza,HLcolGue1,colGue,colGue
Colobus angolensis palliatus,Angolan colobus,colAng1,colAng,colAng
Piliocolobus tephrosceles,Ugandan red Colobus,HLpilTep2,pilTep,pilTep
Hylobates agilis,agile gibbon,HLhylAgi1,hylAgi,hylAgi
Hylobates moloch,silvery gibbon,HLhylMol2,hylMol,hylMol
Hylobates pileatus,pileated gibbon,HLhylPil1,hylPil,hylPil
Symphalangus syndactylus,siamang,HLsymSyn3,symSyn,symSyn
Nomascus leucogenys,northern white-cheeked gibbon,HLnomLeu4,nomLeu,nomLeu
Nomascus siki,southern white-cheeked gibbon,HLnomSik1,nomSik,nomSik
Hoolock leuconedys,eastern hoolock gibbon,HLhooLeu1,hooLeu,hooLeu
Pan troglodytes,chimpanzee,panTro6,panTro,panTro
Pan paniscus,pygmy chimpanzee,HLpanPan4,panPan,panPan
Homo sapiens,human,hg38,hg,hg
Gorilla gorilla gorilla,western lowland gorilla,gorGor6,gorGor,gorGor
Gorilla gorilla,western gorilla,HLgorGor7,gorGor,gorGor_2
Gorilla beringei,Eastern gorilla,HLgorBer1,gorBer,gorBer
Pongo abelii,Sumatran orangutan,ponAbe3,ponAbe,ponAbe
Pongo pygmaeus,Bornean orangutan,HLponPyg1,ponPyg,ponPyg
Saimiri boliviensis boliviensis,Bolivian squirrel monkey,HLsaiBolBol3,saiBolBol,saiBolBol
Saimiri boliviensis,Bolivian squirrel monkey,HLsaiBoli4,saiBoli,saiBoli
Saimiri sciureus,Common squirrel monkey,HLsaiSci1,saiSci,saiSci
Sapajus apella,Tufted capuchin,HLsapApe1,sapApe,sapApe
Cebus imitator,white-faced sapajou,cebCap1,cebCap,cebCap
Cebus albifrons,white-fronted capuchin,HLcebAlb2,cebAlb,cebAlb
Callithrix jacchus,White-tufted-ear marmoset,HLcalJacc6,calJacc,calJacc
Callithrix penicillata,Black-pencilled marmoset,HLcalPen1,calPen,calPen
Cebuella pygmaea,pygmy marmoset,HLcalPym1,calPym,calPym
Callimico goeldii,Goeldis marmoset,HLcalGoe1,calGoe,calGoe
Leontopithecus rosalia,golden lion tamarin,HLleoRos1,leoRos,leoRos
Leontopithecus chrysomelas,golden-headed lion tamarin,HLleoChr1,leoChr,leoChr
Saguinus imperator,tamarin,HLsagImp1,sagImp,sagImp
Saguinus oedipus,Cotton-top tamarin,HLsagOed1,sagOed,sagOed
Saguinus midas,Midas tamarin,HLsagMid1,sagMid,sagMid
Aotus nancymaae,Mas night monkey,aotNan1,aotNan,aotNan
Ateles marginatus,White-cheeked spider monkey,HLateMar1,ateMar,ateMar
Ateles chamek,Black spider monkey,HLateCha1,ateCha,ateCha
Ateles belzebuth,White-bellied spider monkey,HLateBel1,ateBel,ateBel
Ateles paniscus,Red-faced black spider monkey,HLatePan1,atePan,atePan
Ateles hybridus,brown spider monkey,HLateHyb1,ateHyb,ateHyb
Ateles fusciceps,Brown-headed spider monkey,HLateFus1,ateFus,ateFus
Ateles geoffroyi,black-handed spider monkey,HLateGeo1,ateGeo,ateGeo
Brachyteles arachnoides,Woolly spider monkey,HLbraAra1,braAra,braAra
